#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"Un","KV454302.1",688221,688656,"-",,,"LIPSTDRAFT_186923","ODQ69970.1",126,"hypothetical protein LIPSTDRAFT_186923"
"Un","KV454302.1",689428,689688,"+",,,"LIPSTDRAFT_186921","ODQ69971.1",86,"hypothetical protein LIPSTDRAFT_186921"
"Un","KV454302.1",694564,695280,"+",,,"LIPSTDRAFT_75625","ODQ69972.1",231,"hypothetical protein LIPSTDRAFT_75625"
"Un","KV454302.1",695510,695806,"-",,,"LIPSTDRAFT_186935","ODQ69973.1",98,"hypothetical protein LIPSTDRAFT_186935"
"Un","KV454302.1",700897,701657,"-",,,"LIPSTDRAFT_187026","ODQ69974.1",217,"hypothetical protein LIPSTDRAFT_187026"
"Un","KV454303.1",1842,3688,"-",,,"LIPSTDRAFT_6631","ODQ69424.1",575,"hypothetical protein LIPSTDRAFT_6631"
"Un","KV454303.1",11016,12606,"-",,,"LIPSTDRAFT_107678","ODQ69425.1",479,"hypothetical protein LIPSTDRAFT_107678"
"Un","KV454303.1",12981,14128,"+",,,"LIPSTDRAFT_6635","ODQ69426.1",364,"hypothetical protein LIPSTDRAFT_6635"
"Un","KV454303.1",15714,16577,"-",,,"LIPSTDRAFT_113893","ODQ69427.1",271,"hypothetical protein LIPSTDRAFT_113893"
"Un","KV454303.1",22182,22436,"+",,,"LIPSTDRAFT_107679","ODQ69428.1",84,"hypothetical protein LIPSTDRAFT_107679"
"Un","KV454303.1",23513,23860,"-",,,"LIPSTDRAFT_75641","ODQ69429.1",115,"hypothetical protein LIPSTDRAFT_75641"
"Un","KV454303.1",24955,25956,"-",,,"LIPSTDRAFT_187098","ODQ69430.1",333,"hypothetical protein LIPSTDRAFT_187098"
"Un","KV454303.1",28035,28694,"+",,,"LIPSTDRAFT_30474","ODQ69431.1",219,"hypothetical protein LIPSTDRAFT_30474"
"Un","KV454303.1",31646,32440,"+",,,"LIPSTDRAFT_107682","ODQ69432.1",264,"hypothetical protein LIPSTDRAFT_107682"
"Un","KV454303.1",33425,34389,"+",,,"LIPSTDRAFT_187151","ODQ69433.1",304,"hypothetical protein LIPSTDRAFT_187151"
"Un","KV454303.1",34801,35223,"+",,,"LIPSTDRAFT_75644","ODQ69434.1",140,"hypothetical protein LIPSTDRAFT_75644"
"Un","KV454303.1",35838,37094,"+",,,"LIPSTDRAFT_30476","ODQ69435.1",380,"hypothetical protein LIPSTDRAFT_30476"
"Un","KV454303.1",39098,39556,"-",,,"LIPSTDRAFT_187160","ODQ69436.1",152,"hypothetical protein LIPSTDRAFT_187160"
"Un","KV454303.1",39873,40055,"-",,,"LIPSTDRAFT_107683","ODQ69437.1",60,"hypothetical protein LIPSTDRAFT_107683"
"Un","KV454303.1",41379,41861,"+",,,"LIPSTDRAFT_187168","ODQ69438.1",160,"hypothetical protein LIPSTDRAFT_187168"
"Un","KV454303.1",42329,42629,"+",,,"LIPSTDRAFT_75650","ODQ69439.1",83,"hypothetical protein LIPSTDRAFT_75650"
"Un","KV454303.1",43884,45265,"+",,,"LIPSTDRAFT_107684","ODQ69440.1",391,"hypothetical protein LIPSTDRAFT_107684"
"Un","KV454303.1",46389,47542,"-",,,"LIPSTDRAFT_187212","ODQ69441.1",341,"hypothetical protein LIPSTDRAFT_187212"
"Un","KV454303.1",49008,49841,"-",,,"LIPSTDRAFT_113898","ODQ69442.1",207,"hypothetical protein LIPSTDRAFT_113898"
"Un","KV454303.1",51783,52480,"-",,,"LIPSTDRAFT_75654","ODQ69443.1",212,"hypothetical protein LIPSTDRAFT_75654"
"Un","KV454303.1",53632,54573,"+",,,"LIPSTDRAFT_58761","ODQ69444.1",278,"hypothetical protein LIPSTDRAFT_58761"
"Un","KV454303.1",55985,57285,"-",,,"LIPSTDRAFT_100122","ODQ69445.1",395,"hypothetical protein LIPSTDRAFT_100122"
"Un","KV454303.1",62457,63166,"+",,,"LIPSTDRAFT_187367","ODQ69446.1",217,"hypothetical protein LIPSTDRAFT_187367"
"Un","KV454303.1",65308,67049,"-",,,"LIPSTDRAFT_75661","ODQ69447.1",562,"hypothetical protein LIPSTDRAFT_75661"
"Un","KV454303.1",70109,71125,"-",,,"LIPSTDRAFT_187356","ODQ69448.1",338,"hypothetical protein LIPSTDRAFT_187356"
"Un","KV454303.1",74762,75762,"-",,,"LIPSTDRAFT_58942","ODQ69449.1",293,"hypothetical protein LIPSTDRAFT_58942"
"Un","KV454303.1",78139,79035,"-",,,"LIPSTDRAFT_187521","ODQ69450.1",298,"hypothetical protein LIPSTDRAFT_187521"
"Un","KV454303.1",80585,81283,"-",,,"LIPSTDRAFT_187497","ODQ69451.1",232,"hypothetical protein LIPSTDRAFT_187497"
"Un","KV454303.1",83230,84378,"-",,,"LIPSTDRAFT_187515","ODQ69452.1",382,"hypothetical protein LIPSTDRAFT_187515"
"Un","KV454303.1",85038,86386,"-",,,"LIPSTDRAFT_187547","ODQ69453.1",397,"hypothetical protein LIPSTDRAFT_187547"
"Un","KV454303.1",86953,87861,"+",,,"LIPSTDRAFT_6661","ODQ69454.1",302,"hypothetical protein LIPSTDRAFT_6661"
"Un","KV454303.1",89833,91060,"-",,,"LIPSTDRAFT_6662","ODQ69455.1",355,"hypothetical protein LIPSTDRAFT_6662"
"Un","KV454303.1",94723,96057,"-",,,"LIPSTDRAFT_41708","ODQ69456.1",253,"hypothetical protein LIPSTDRAFT_41708, partial"
"Un","KV454303.1",99893,100336,"+",,,"LIPSTDRAFT_75675","ODQ69457.1",147,"hypothetical protein LIPSTDRAFT_75675"
"Un","KV454303.1",103570,103750,"-",,,"LIPSTDRAFT_75676","ODQ69458.1",60,"hypothetical protein LIPSTDRAFT_75676, partial"
"Un","KV454303.1",104776,105153,"-",,,"LIPSTDRAFT_75678","ODQ69459.1",125,"hypothetical protein LIPSTDRAFT_75678"
"Un","KV454303.1",105851,106204,"-",,,"LIPSTDRAFT_75679","ODQ69460.1",117,"hypothetical protein LIPSTDRAFT_75679"
"Un","KV454303.1",107740,108515,"+",,,"LIPSTDRAFT_75680","ODQ69461.1",199,"hypothetical protein LIPSTDRAFT_75680"
"Un","KV454303.1",109619,111733,"+",,,"LIPSTDRAFT_187769","ODQ69462.1",704,"hypothetical protein LIPSTDRAFT_187769"
"Un","KV454303.1",112593,113258,"-",,,"LIPSTDRAFT_66230","ODQ69463.1",221,"hypothetical protein LIPSTDRAFT_66230"
"Un","KV454303.1",114130,115160,"+",,,"LIPSTDRAFT_75683","ODQ69464.1",141,"hypothetical protein LIPSTDRAFT_75683"
"Un","KV454303.1",116244,117313,"+",,,"LIPSTDRAFT_6668","ODQ69465.1",320,"hypothetical protein LIPSTDRAFT_6668"
"Un","KV454303.1",119106,120071,"-",,,"LIPSTDRAFT_75687","ODQ69466.1",141,"hypothetical protein LIPSTDRAFT_75687"
"Un","KV454303.1",120583,120858,"-",,,"LIPSTDRAFT_75689","ODQ69467.1",91,"hypothetical protein LIPSTDRAFT_75689"
"Un","KV454303.1",121487,121837,"+",,,"LIPSTDRAFT_334273","ODQ69468.1",116,"hypothetical protein LIPSTDRAFT_334273"
"Un","KV454303.1",122441,123346,"-",,,"LIPSTDRAFT_107713","ODQ69469.1",248,"hypothetical protein LIPSTDRAFT_107713"
"Un","KV454303.1",126557,128023,"+",,,"LIPSTDRAFT_35060","ODQ69470.1",489,"hypothetical protein LIPSTDRAFT_35060, partial"
"Un","KV454303.1",130442,131980,"+",,,"LIPSTDRAFT_6671","ODQ69471.1",495,"hypothetical protein LIPSTDRAFT_6671"
"Un","KV454303.1",135294,136385,"+",,,"LIPSTDRAFT_75694","ODQ69472.1",363,"hypothetical protein LIPSTDRAFT_75694"
"Un","KV454303.1",137213,137977,"+",,,"LIPSTDRAFT_334281","ODQ69473.1",254,"hypothetical protein LIPSTDRAFT_334281"
"Un","KV454303.1",142680,143699,"-",,,"LIPSTDRAFT_30502","ODQ69474.1",339,"hypothetical protein LIPSTDRAFT_30502"
"Un","KV454303.1",143959,144131,"+",,,"LIPSTDRAFT_75698","ODQ69475.1",57,"hypothetical protein LIPSTDRAFT_75698, partial"
"Un","KV454303.1",147294,149840,"-",,,"LIPSTDRAFT_188188","ODQ69476.1",830,"hypothetical protein LIPSTDRAFT_188188"
"Un","KV454303.1",150790,152253,"+",,,"LIPSTDRAFT_107719","ODQ69477.1",384,"hypothetical protein LIPSTDRAFT_107719"
"Un","KV454303.1",152511,153204,"+",,,"LIPSTDRAFT_66239","ODQ69478.1",207,"hypothetical protein LIPSTDRAFT_66239"
"Un","KV454303.1",154143,156618,"-",,,"LIPSTDRAFT_188217","ODQ69479.1",808,"hypothetical protein LIPSTDRAFT_188217"
"Un","KV454303.1",157913,159088,"+",,,"LIPSTDRAFT_107722","ODQ69480.1",391,"hypothetical protein LIPSTDRAFT_107722"
"Un","KV454303.1",161374,162186,"+",,,"LIPSTDRAFT_87939","ODQ69481.1",225,"hypothetical protein LIPSTDRAFT_87939, partial"
"Un","KV454303.1",162627,162791,"-",,,"LIPSTDRAFT_75706","ODQ69482.1",54,"hypothetical protein LIPSTDRAFT_75706"
"Un","KV454303.1",163297,165380,"-",,,"LIPSTDRAFT_75707","ODQ69483.1",659,"hypothetical protein LIPSTDRAFT_75707"
"Un","KV454303.1",170139,171518,"-",,,"LIPSTDRAFT_6683","ODQ69484.1",425,"hypothetical protein LIPSTDRAFT_6683"
"Un","KV454303.1",173300,174176,"+",,,"LIPSTDRAFT_188450","ODQ69485.1",242,"hypothetical protein LIPSTDRAFT_188450"
"Un","KV454303.1",175557,176761,"-",,,"LIPSTDRAFT_58954","ODQ69486.1",363,"hypothetical protein LIPSTDRAFT_58954"
"Un","KV454303.1",180412,180822,"+",,,"LIPSTDRAFT_75712","ODQ69487.1",136,"hypothetical protein LIPSTDRAFT_75712"
"Un","KV454303.1",183014,184083,"-",,,"LIPSTDRAFT_75715","ODQ69488.1",322,"hypothetical protein LIPSTDRAFT_75715"
"Un","KV454303.1",185259,185893,"-",,,"LIPSTDRAFT_75718","ODQ69489.1",100,"hypothetical protein LIPSTDRAFT_75718"
"Un","KV454303.1",187704,189433,"-",,,"LIPSTDRAFT_75719","ODQ69490.1",557,"hypothetical protein LIPSTDRAFT_75719"
"Un","KV454303.1",191522,193241,"-",,,"LIPSTDRAFT_188568","ODQ69491.1",556,"hypothetical protein LIPSTDRAFT_188568"
"Un","KV454303.1",194148,195873,"-",,,"LIPSTDRAFT_6691","ODQ69492.1",556,"hypothetical protein LIPSTDRAFT_6691"
"Un","KV454303.1",196540,198586,"-",,,"LIPSTDRAFT_188601","ODQ69493.1",664,"hypothetical protein LIPSTDRAFT_188601"
"Un","KV454303.1",198827,199366,"-",,,"LIPSTDRAFT_188600","ODQ69494.1",157,"hypothetical protein LIPSTDRAFT_188600"
"Un","KV454303.1",200362,200553,"-",,,"LIPSTDRAFT_75723","ODQ69495.1",63,"hypothetical protein LIPSTDRAFT_75723"
"Un","KV454303.1",202802,203353,"-",,,"LIPSTDRAFT_75724","ODQ69496.1",183,"hypothetical protein LIPSTDRAFT_75724"
"Un","KV454303.1",205453,207206,"+",,,"LIPSTDRAFT_6694","ODQ69497.1",531,"hypothetical protein LIPSTDRAFT_6694"
"Un","KV454303.1",207670,208142,"-",,,"LIPSTDRAFT_6695","ODQ69498.1",140,"hypothetical protein LIPSTDRAFT_6695"
"Un","KV454303.1",208724,209020,"+",,,"LIPSTDRAFT_75728","ODQ69499.1",98,"hypothetical protein LIPSTDRAFT_75728"
"Un","KV454303.1",210497,212333,"+",,,"LIPSTDRAFT_6696","ODQ69500.1",554,"hypothetical protein LIPSTDRAFT_6696"
"Un","KV454303.1",215853,217660,"+",,,"LIPSTDRAFT_6697","ODQ69501.1",565,"hypothetical protein LIPSTDRAFT_6697"
"Un","KV454303.1",220575,220931,"-",,,"LIPSTDRAFT_66255","ODQ69502.1",118,"hypothetical protein LIPSTDRAFT_66255"
"Un","KV454303.1",222444,224115,"+",,,"LIPSTDRAFT_75734","ODQ69503.1",466,"hypothetical protein LIPSTDRAFT_75734"
"Un","KV454303.1",224583,225435,"+",,,"LIPSTDRAFT_188758","ODQ69504.1",197,"hypothetical protein LIPSTDRAFT_188758"
"Un","KV454303.1",226412,228317,"-",,,"LIPSTDRAFT_120522","ODQ69505.1",599,"hypothetical protein LIPSTDRAFT_120522"
"Un","KV454303.1",228715,231290,"+",,,"LIPSTDRAFT_75738","ODQ69506.1",691,"hypothetical protein LIPSTDRAFT_75738"
"Un","KV454303.1",231823,233305,"+",,,"LIPSTDRAFT_75739","ODQ69507.1",394,"hypothetical protein LIPSTDRAFT_75739"
"Un","KV454303.1",234393,235211,"+",,,"LIPSTDRAFT_75741","ODQ69508.1",182,"hypothetical protein LIPSTDRAFT_75741"
"Un","KV454303.1",236582,237536,"-",,,"LIPSTDRAFT_87988","ODQ69509.1",223,"hypothetical protein LIPSTDRAFT_87988"
"Un","KV454303.1",237762,239492,"+",,,"LIPSTDRAFT_6707","ODQ69510.1",508,"hypothetical protein LIPSTDRAFT_6707"
"Un","KV454303.1",247253,247602,"-",,,"LIPSTDRAFT_188988","ODQ69511.1",96,"hypothetical protein LIPSTDRAFT_188988"
"Un","KV454303.1",253527,253790,"-",,,"LIPSTDRAFT_58791","ODQ69512.1",87,"hypothetical protein LIPSTDRAFT_58791"
"Un","KV454303.1",255238,256171,"+",,,"LIPSTDRAFT_107753","ODQ69513.1",293,"hypothetical protein LIPSTDRAFT_107753"
"Un","KV454303.1",256258,257235,"-",,,"LIPSTDRAFT_37379","ODQ69514.1",326,"hypothetical protein LIPSTDRAFT_37379, partial"
"Un","KV454303.1",257458,262029,"-",,,"LIPSTDRAFT_189035","ODQ69516.1",1328,"hypothetical protein LIPSTDRAFT_189035"
"Un","KV454303.1",257458,259549,"-",,,"LIPSTDRAFT_189035","ODQ69515.1",664,"hypothetical protein LIPSTDRAFT_189035"
"Un","KV454303.1",262468,266244,"-",,,"LIPSTDRAFT_75754","ODQ69517.1",1218,"hypothetical protein LIPSTDRAFT_75754"
"Un","KV454303.1",267729,269058,"-",,,"LIPSTDRAFT_6714","ODQ69518.1",393,"hypothetical protein LIPSTDRAFT_6714"
"Un","KV454303.1",272617,274123,"-",,,"LIPSTDRAFT_6715","ODQ69519.1",444,"hypothetical protein LIPSTDRAFT_6715"
"Un","KV454303.1",275826,279522,"-",,,"LIPSTDRAFT_189188","ODQ69520.1",1138,"hypothetical protein LIPSTDRAFT_189188"
"Un","KV454303.1",281090,282412,"-",,,"LIPSTDRAFT_66271","ODQ69521.1",440,"hypothetical protein LIPSTDRAFT_66271"
"Un","KV454303.1",283737,284485,"+",,,"LIPSTDRAFT_107761","ODQ69522.1",231,"hypothetical protein LIPSTDRAFT_107761"
"Un","KV454303.1",285303,286566,"-",,,"LIPSTDRAFT_75759","ODQ69523.1",399,"hypothetical protein LIPSTDRAFT_75759"
"Un","KV454303.1",287570,288155,"-",,,"LIPSTDRAFT_6719","ODQ69524.1",90,"hypothetical protein LIPSTDRAFT_6719"
"Un","KV454303.1",291196,292665,"+",,,"LIPSTDRAFT_75763","ODQ69525.1",489,"hypothetical protein LIPSTDRAFT_75763"
"Un","KV454303.1",293791,295390,"-",,,"LIPSTDRAFT_189339","ODQ69526.1",516,"hypothetical protein LIPSTDRAFT_189339"
"Un","KV454303.1",296144,297553,"+",,,"LIPSTDRAFT_75766","ODQ69527.1",396,"hypothetical protein LIPSTDRAFT_75766"
"Un","KV454303.1",297922,298420,"+",,,"LIPSTDRAFT_6723","ODQ69528.1",146,"hypothetical protein LIPSTDRAFT_6723"
"Un","KV454303.1",298744,299564,"-",,,"LIPSTDRAFT_66278","ODQ69529.1",231,"hypothetical protein LIPSTDRAFT_66278"
"Un","KV454303.1",300081,301194,"+",,,"LIPSTDRAFT_107767","ODQ69530.1",342,"hypothetical protein LIPSTDRAFT_107767"
"Un","KV454303.1",301469,302372,"+",,,"LIPSTDRAFT_75768","ODQ69531.1",264,"hypothetical protein LIPSTDRAFT_75768"
"Un","KV454303.1",302826,303361,"+",,,"LIPSTDRAFT_30548","ODQ69532.1",160,"hypothetical protein LIPSTDRAFT_30548"
"Un","KV454303.1",304325,305137,"+",,,"LIPSTDRAFT_6728","ODQ69533.1",270,"hypothetical protein LIPSTDRAFT_6728"
"Un","KV454303.1",309253,310340,"+",,,"LIPSTDRAFT_189449","ODQ69534.1",346,"hypothetical protein LIPSTDRAFT_189449"
"Un","KV454303.1",311157,312247,"+",,,"LIPSTDRAFT_6730","ODQ69535.1",345,"hypothetical protein LIPSTDRAFT_6730"
"Un","KV454303.1",312458,313258,"-",,,"LIPSTDRAFT_75773","ODQ69536.1",249,"hypothetical protein LIPSTDRAFT_75773"
"Un","KV454303.1",313742,316244,"+",,,"LIPSTDRAFT_107773","ODQ69537.1",766,"hypothetical protein LIPSTDRAFT_107773"
"Un","KV454303.1",317579,317884,"-",,,"LIPSTDRAFT_6733","ODQ69538.1",101,"hypothetical protein LIPSTDRAFT_6733"
"Un","KV454303.1",318431,319590,"+",,,"LIPSTDRAFT_75777","ODQ69539.1",366,"hypothetical protein LIPSTDRAFT_75777"
"Un","KV454303.1",321552,322788,"-",,,"LIPSTDRAFT_75778","ODQ69540.1",304,"hypothetical protein LIPSTDRAFT_75778"
"Un","KV454303.1",323646,323867,"+",,,"LIPSTDRAFT_75781","ODQ69541.1",73,"hypothetical protein LIPSTDRAFT_75781"
"Un","KV454303.1",324622,327042,"-",,,"LIPSTDRAFT_6736","ODQ69542.1",647,"hypothetical protein LIPSTDRAFT_6736"
"Un","KV454303.1",328017,330253,"+",,,"LIPSTDRAFT_6737","ODQ69543.1",701,"hypothetical protein LIPSTDRAFT_6737"
"Un","KV454303.1",330741,332466,"-",,,"LIPSTDRAFT_75786","ODQ69544.1",443,"hypothetical protein LIPSTDRAFT_75786"
"Un","KV454303.1",333500,334439,"+",,,"LIPSTDRAFT_6739","ODQ69545.1",233,"hypothetical protein LIPSTDRAFT_6739"
"Un","KV454303.1",334772,336083,"-",,,"LIPSTDRAFT_66292","ODQ69546.1",401,"hypothetical protein LIPSTDRAFT_66292"
"Un","KV454303.1",336680,338313,"+",,,"LIPSTDRAFT_66293","ODQ69547.1",486,"hypothetical protein LIPSTDRAFT_66293"
"Un","KV454303.1",338638,341300,"-",,,"LIPSTDRAFT_189870","ODQ69548.1",781,"hypothetical protein LIPSTDRAFT_189870"
"Un","KV454303.1",342158,345255,"-",,,"LIPSTDRAFT_6743","ODQ69549.1",886,"hypothetical protein LIPSTDRAFT_6743"
"Un","KV454303.1",345694,349874,"-",,,"LIPSTDRAFT_75793","ODQ69550.1",1295,"hypothetical protein LIPSTDRAFT_75793"
"Un","KV454303.1",350400,353035,"+",,,"LIPSTDRAFT_100284","ODQ69551.1",706,"hypothetical protein LIPSTDRAFT_100284"
"Un","KV454303.1",353342,355093,"-",,,"LIPSTDRAFT_6746","ODQ69552.1",566,"hypothetical protein LIPSTDRAFT_6746"
"Un","KV454303.1",355124,355492,"-",,,"LIPSTDRAFT_6747","ODQ69553.1",85,"hypothetical protein LIPSTDRAFT_6747"
"Un","KV454303.1",356255,357470,"-",,,"LIPSTDRAFT_75795","ODQ69554.1",366,"hypothetical protein LIPSTDRAFT_75795"
"Un","KV454303.1",357941,358741,"+",,,"LIPSTDRAFT_6749","ODQ69555.1",266,"hypothetical protein LIPSTDRAFT_6749"
"Un","KV454303.1",358798,361199,"-",,,"LIPSTDRAFT_6750","ODQ69556.1",711,"hypothetical protein LIPSTDRAFT_6750"
"Un","KV454303.1",368351,368839,"-",,,"LIPSTDRAFT_190319","ODQ69557.1",162,"hypothetical protein LIPSTDRAFT_190319"
"Un","KV454303.1",369264,370349,"+",,,"LIPSTDRAFT_66302","ODQ69558.1",339,"hypothetical protein LIPSTDRAFT_66302"
"Un","KV454303.1",370547,372190,"-",,,"LIPSTDRAFT_6754","ODQ69559.1",474,"hypothetical protein LIPSTDRAFT_6754"
"Un","KV454303.1",373058,373966,"+",,,"LIPSTDRAFT_32732","ODQ69560.1",303,"hypothetical protein LIPSTDRAFT_32732, partial"
"Un","KV454303.1",374542,375105,"+",,,"LIPSTDRAFT_66304","ODQ69561.1",150,"hypothetical protein LIPSTDRAFT_66304"
"Un","KV454303.1",376473,378485,"+",,,"LIPSTDRAFT_75804","ODQ69562.1",515,"hypothetical protein LIPSTDRAFT_75804"
"Un","KV454303.1",379123,380735,"+",,,"LIPSTDRAFT_100309","ODQ69563.1",482,"hypothetical protein LIPSTDRAFT_100309"
"Un","KV454303.1",384521,386241,"+",,,"LIPSTDRAFT_6759","ODQ69564.1",535,"hypothetical protein LIPSTDRAFT_6759"
"Un","KV454303.1",389819,391139,"-",,,"LIPSTDRAFT_6760","ODQ69565.1",399,"hypothetical protein LIPSTDRAFT_6760"
"Un","KV454303.1",393093,394415,"-",,,"LIPSTDRAFT_6761","ODQ69566.1",399,"hypothetical protein LIPSTDRAFT_6761"
"Un","KV454303.1",396991,397869,"-",,,"LIPSTDRAFT_75815","ODQ69567.1",292,"hypothetical protein LIPSTDRAFT_75815"
"Un","KV454303.1",399760,400681,"+",,,"LIPSTDRAFT_40406","ODQ69568.1",266,"hypothetical protein LIPSTDRAFT_40406, partial"
"Un","KV454303.1",401353,401706,"-",,,"LIPSTDRAFT_45839","ODQ69569.1",118,"hypothetical protein LIPSTDRAFT_45839, partial"
"Un","KV454303.1",404056,407146,"+",,,"LIPSTDRAFT_58924","ODQ69570.1",1012,"hypothetical protein LIPSTDRAFT_58924"
"Un","KV454303.1",408494,410425,"+",,,"LIPSTDRAFT_30585","ODQ69571.1",407,"hypothetical protein LIPSTDRAFT_30585"
"Un","KV454303.1",410596,411654,"-",,,"LIPSTDRAFT_6767","ODQ69572.1",336,"hypothetical protein LIPSTDRAFT_6767"
